sym
FRA
TXL
MUN
DUS
HAM
JFK
WAW
TIA
ALG
LAD
EZE
GRZ
INN
LNZ
SZG
VIE
GYD
BAH
MSQ
BRU
SJJ
GIG
GRU
SOF
YUL
YOW
YYZ
YVR
BOG
SJO
DBV
RJK
SPU
ZAD
ZAG
LCA
PRG
AAL
BLL
CPH
CAI
SSG
TLL
ADD
HEL
KTT
BIA
BOD
LYS
MRS
MPL
NTE
NCE
CDG
ORY
RNS
SXB
TLS
TBS
BRE
CGN
DRS
FRA
FDH
HAJ
LEJ
MUC
FMO
NUE
PAD
RLG
STR
GWT
ATH
HER
RHO
SKG
ZTH
HKG
HKG
BUD
DEB
KEF
BLR
DEL
BOM
IKA
EBL
DUB
NOC
SNN
NGO
KIX
HND
JER
AMM
ALA
NQZ
NBO
KWI
RIX
BEY
VNO
LUX
MLE
MLA
CUN
MEX
KIV
CMN
RAK
AMS
ABV
LOS
PHC
OSL
TOS
TRD
PTY
GDN
KTW
KRK
LUZ
POZ
RZE
WRO
FAO
FNC
OPO
OTP
CLJ
SBZ
TSR
DME
LED
DMM
JED
RUH
BEG
SIN
LJU
CPT
JNB
ICN
ALC
BCN
BIO
FUE
IBZ
XRY
LPA
MAD
AGP
PMI
PNA
SCQ
SVQ
TFS
VLC
GOT
ARN
GVA
ZRH
Hub
BKK
TUN
AYT
BJV
ADB
KBP
LWO
ODS
DXB
BHX
BRS
CWL
EDI
GLA
INV
LCY
LGW
LHR
MAN
NCL
NQY
ATL
AUS
BOS
CLT
ORD
DFW
DEN
DTW
IAH
LAX
MIA
EWR
MCO
PHL
SEA
TPA
IAD
